E3 Binder SMILES,E3 Binder ID
CC(C)C[C@H](NC(=O)[C@@H](O)[C@H](N)Cc1ccccc1)C(N)=O,157
CCCC(N)C(=O)N1CC(O)CC1C(=O)NCc1ccc(-c2scnc2C)cc1,0
CNC(C)C(=O)NC(C(=O)N1CCCC1C(=O)NC1CCCc2ccccc21)C(C)(C)C,1
CNC(=O)CC(NC(=O)C1CC(O)CN1C(=O)C(c1cc(C)no1)C(C)C)c1ccc(F)cc1,47
Cc1ncsc1-c1ccc(CNC(=O)C2CC(O)CN2C(=O)C(C(C)C)N2Cc3ccccc3C2=O)c(O)c1,3
Cc1nc(C)c(-c2ccc(C(C)NC(=O)C3CC(O)CN3C(=O)C(N)C(C)(C)C)cc2)s1,4
COc1cc(C=CC(=O)N2CCC=CC2=O)cc(OC)c1OC,6
CNC(C)C(=O)NC(C(=O)N1CCCC1c1nc(C(=O)c2cccc(OC)c2)cs1)C1CCCCC1,7
CNC(=O)CC(NC(=O)C1CC(O)CN1C(=O)C(NC(=O)C1(F)CC1)C(C)(C)C)c1ccc(-c2scnc2C)cc1,147
CC(=O)NC(Cc1ccccc1)C(=O)NC(C(=O)N1CC(O)CC1C(=O)NCc1ccc(-c2scnc2C)cc1)C(C)(C)C,9
Cc1ncsc1-c1ccc(CNC(=O)C2CC(O)CN2C(=O)C(C(C)C)N2Cc3ccccc3C2=O)cc1,10
CNC(C)C(=O)NC(C(=O)N1Cc2ccccc2CC1C(=O)NC1CCCc2ccccc21)C(C)(C)C,76
CC(=O)NC(C(=O)N1CC(O)CC1C(=O)NC(C)c1ccc(C#N)cc1)C(C)(C)C,13
CNC(C)C(=O)NC(C(=O)N1CCCC1c1nc(C(=O)c2ccc(F)cc2)cs1)C1CCCCC1,14
CNC(=O)CC(NC(=O)C1CC(O)CN1C(=O)C(NC(C)=O)C(C)(C)C)c1ccc(-c2scnc2C)cc1,18
CNC(C)C(=O)NC(C(=O)N1CCCC1c1nc(-c2ccc(F)c3ccccc23)cs1)C1CCCCC1,21
COc1cc(C(=O)O)ccc1NC(=O)C1NC(CC(C)(C)C)C(C#N)(c2ccc(Cl)cc2F)C1c1cccc(Cl)c1F,22
CNC(C)C(=O)NC(C(=O)N1CCCC1c1nc2c(-c3ccccc3)nccc2s1)C1CCCCC1,23
CC(=O)NC(C(=O)N1CC(O)CC1C(=O)NC(C)c1ccc(C2CC2)cc1)C(C)(C)C,24
CNC(=O)CC(NC(=O)C1CC(O)CN1C(=O)C(c1cc(C)no1)C(C)C)c1ccccc1,54
CNC(=O)CC(NC(=O)C1CC(O)CN1C(=O)C(NC(C)=O)C(C)C)c1ccccc1,26
CC(C)CC(NC(=O)C(O)C(N)Cc1ccccc1)C(=O)O,27
CC(NC(=O)C1CC(O)CN1C(=O)C(N)C(C)(C)C)c1ccc(C#N)cc1,28
CNC(=O)CC(NC(=O)C1CC(O)CN1C(=O)C(NC(=O)C1(C#N)CC1)C(C)(C)C)c1ccc(-c2scnc2C)cc1,30
CNC(=O)CC(NC(=O)C1CC(O)CN1C(=O)C(CNC(C)=O)C(C)C)c1ccccc1,31
C#Cc1ccc(C(C)NC(=O)C2CC(O)CN2C(=O)C(N)C(C)(C)C)cc1,32
N=C(N)NCCCC(N)C(=O)O,35
CC(=O)NC(C(=O)N1CC(O)C(F)C1C(=O)NCc1ccc(-c2scnc2C)cc1)C(C)(C)C,56
CNC(C)C(=O)NC1CCOC2CC(C)(C)C(C(=O)NC3CCCc4cc(O)ccc43)N2C1=O,37
CC(C)c1ccc(C(C)NC(=O)C2CC(O)CN2C(=O)C(N)C(C)(C)C)cc1,38
